A course held in an auditorium, un cours en amphi
A flipped-style class, un cours inversé
An excercise session, une séance d'exo
A lab session, un labo
A practical session, un travail pratique
A test, une éval
A mid-term, un mid-term
A lecture, un cours ex cathedra
To wing it, y aller au talent
To bet on the class average being low, je mise tout sur la gaussienne
Expression qui veut dire qu'on a complètement raté ou manqué ce qu'on essayait de faire, j'ai foiré
Expression qui veut dire « c'est parfait », c'est carré
I handled/managed it, J'ai géré
Expression qui veut dire que l'examinateur d'un examen a été extrêmement sévère et a mis une très mauvaise note, Je me suis fait saquer
The humanities, Les sciences humaines, f
A failure, un échec
Refaire une année en raison d'un échec, redoubler
A multiple choice quiz (abbr.), un QCM
A short test on only part of the material, un contrôle
An assignment that is to be turned in, un rendu
to acquire, acquérir
Le mode d'évaluation qui repose sur un ensemble de travaux, le contrôle continu
Une succession d'étapes ; un parcours, une filière
