disappointed (f.), déçue
depressed (m.), déprimé
serene (m.), serein
sad, triste
exhalted (f.), exaltée
expression pour dire « ne pas avoir de chance », avoir la main malheureuse
to have a good time, passer un bon moment
discouraged (f.), découragée
hit or miss (expression), au petit bonheur la chance
to be sad / to have a hard time, avoir de la peine
expression pour dire « se souvenir d'un jour pendant longtemps pour une raison heureuse », marquer un jour d'une pierre blanche
unhappy / unfortunate (f.), malheureuse
distressed (m.), affligé
to be stuck with bad thoughts/feelings (expression), broyer du noir
unlucky (m.), malchanceux
(the) melancholy, la mélancolie
(the) misfortune, le malheur
distressed (f.), affligée
unlucky (f.), malchanceuse
delighted (f.), ravie
dejected (m.), abattu
sullen, maussade
dejected (f.), abattue
friendly (m.), amical
friendly (f.), amicale
to comfort (someone), réconforter
la participation à la faute¸ au délit ou au crime commis par un autre, la complicité
ne pas se fier (à qqn) ; se tenir en garde (contre les intentions de qqn), se méfier de
Accorder sa confiance (à qqn¸ à qqch.), se fier à
En qui ou en quoi on peut avoir toute confiance (m./f.), fiable
Qui implique entre deux personnes¸ deux groupes¸ deux choses¸ un échange de même nature (m./f.), réciproque
(the) loyalty, la loyauté
L'état d'esprit qui pousse une personne à ne pas faire confiance à quelqu'un ou à quelque chose, la méfiance
le fait qu'un échange¸ un sentiment¸ une action ou un droit est partagé et rendu de manière équivalente entre deux parties, La réciprocité
qui obéit aux lois de l'honneur et de la probité (m.), loyal
qui obéit aux lois de l'honneur et de la probité (f.), loyale
Ne pas respecter un devoir ou un engagement, manquer à
Qui ne manque pas à la foi donnée (à qqn)¸ aux engagements pris (envers qqn) (m./f.), fidèle
