to volunteer, faire du bénévolat
(the) otherness, l'altérité, f
the pitfall, l'écueil, m
to start (e.g. a car), démarrer
distracted (m.), distrait
distracted (f.), distraite
the cat's ears are itchy, les oreilles du chat lui démange, f
the messy pile, le tas
the tidy pile, la pile
it's not worth the trouble, ça ne vaut pas la peine
the accomplice, le complice
the driveway, l'allée, f
the cable, le câble
I might as well do it, autant le faire
the sink, l'évier, m
to darken, assombrir
the automation, l'automatisation, f
the robotization, la robotisation
