the heatwave, la canicule
to promote, promouvoir
harmful, néfaste
rendre quelque chose fragile, fragiliser
the ecosystem, l'écosystème, m
l'action de couvrir une surface de végétaux, la végétalisation
adjacent to (m.), attenant à
adjacent to (f.), attenante à
the shortage, la pénurie
à partir de maintenaint, désormais
the savanna, la savane
rendre quelque chose à son propriétaire légitime, restituer
renewable, renouvelable
the water reserve, la réserve d'eau
the supply, l'approvisionnement, m
to acquire, acquérir
to include, inclure
defeatist, défaitiste
reductive (m.), réducteur
reductive (f.), réductrice
the propaganda, la propagande
shady (w.r.t. light) (m.), ombré
shady (w.r.t. light) (f.), ombrée
the interruption, l'interruption, f
un générateur de vapeur d'eau ou d'eau chaude¸ servant au chauffage, une chaudière
a vicious circle, un cercle vicieux
une suite d'événements positifs, un cercle vertueux
To get back on the mat, revenir sur le tapis
expression pour « il n'a personne », il n'y a plus un chat
expression pour « dire n'importe quoi comme si l'on s'était drogué. », fumer la moquette
Qui est très ancien¸ qui existe depuis un temps immémorial (m./f.), séculaire
