the actor (m.), le comédien
the actor (f.), la comédienne
to make fun of, se moquer de
Étude scientifique de tous les processus concernant l'agriculture, l'agronomie, f
Ensemble des entreprises industrielles qui transforment¸ élaborent¸ ou conditionnent les produits agricoles, l'agro-industrie, f
The career plan, Le plan de carrière
Une grande calamité publique, un fléau
a patent, un brevet
to protect an invention with a patent, breveter
the rare-earth element, la terre rare
Un espace occupé par des militants s'opposant à un projet d'aménagement, une zone à défendre
Un espace occupé par des militants s'opposant à un projet d'aménagement (acronyme), une ZAD
Un militant s'oppose à l'aménagement d'une ZAD, un zadiste
Il suffit de (expression), il n'y a qu'à
where I'm from, d'où je viens
I didn't take this photo, ce n'est pas moi qui a pris cette photo
the flour tortilla, la tortilla de blé
It's the restaurant that I went to, C'est le restaurant dans lequel je suis allé
Sunny (m.), ensoleillé
Sunny (f.), ensoleillée
Snowy (m.), enneigé
snowy (f.), enneigée
Qui pousse à prendre des mesures extrêmes¸ quelles qu'en soient les conséquences (adj. et nom), jusqu'au-boutiste
the day before, la veille
The bungee jumping, le saut à l'élastique, m
(the) skydiving, la chute libre
(the) paragliding, la parapente
rapidement¸ souvent sans grand soin ni rigueur, vite fait
confused (m./f.), perplexe
the male comedian, l'humoriste, m
the female comedian, l'humoriste, f
