a square bread tin, un moule
a bread baked in a square tin, un pain moulé
handmade, à la main
the mirabelle plum, la mirabelle
the pit (e.g. of a fruit), le noyau
l'enveloppe broyée d'une graine, le son
a good deal, un bon échange
a hedge, une haie
the elderberry, le sureau
the associative café, le café associatif
to set the table, mettre la table
to present (e.g. at a conference), faire une conférence
the hop (beer), le houblon
to corrupt, corrompre
a wheel, une roue
a shelter/roof, un abris
the young-appearing face, la frimousse
the hail, la grêle
the piece of hail/hailstone, le grêlon
the comic (art style), la bande desinée
