to feel blue, avoir le blues
saddened (m.), attrisé
resigned (f.), résignée
(the) sadness, la tristesse
resigned (m.), résigné
exhalted (m.), exalté
serene (f.), sereine
expression pour dire « se souvenir d'un jour pendant longtemps pour une raison malheureuse », marquer un jour d'une pierre noire
disappointed (m.), déçu
melancholy (adj.), mélancolique
(the) depression, la dépression
expression pour dire « avoir le moral à zéro », avoir le bourdonto cry, pleurer
to be lucky, avoir de la chance
saddened (f.), attrisé
depressed (m.), déprimée
to feel shitty, avoir le cafard
morose, morose
to be in good spirits, avoir le moral
to bring good luck to (someone), porter le bonheur à
un euphémisme familier qui désigne la naissance d'un enfant, un heureux événement
to sob, sangloter
delighted (m.), ravi
miserable, misérable
unhappy / unfortunate (m.), malheureux
(the) disappointment, la déception
expression pour dire « être dans un état de tristesse profonde » (m.), être malheureux comme les pierres
expression pour dire « traverser une période difficile », passer un mauvais moment
to burst out laughing, éclater de rire
to upset (someone), faire de la peine à
discouraged (m.), découragé
disappointed (f.), déçue
depressed (m.), déprimé
serene (m.), serein
sad, triste
exhalted (f.), exaltée
expression pour dire « ne pas avoir de chance », avoir la main malheureuse
to have a good time, passer un bon moment
discouraged (f.), découragée
hit or miss (expression), au petit bonheur la chance
to be sad / to have a hard time, avoir de la peine
expression pour dire « se souvenir d'un jour pendant longtemps pour une raison heureuse », marquer un jour d'une pierre blanche
unhappy / unfortunate (f.), malheureuse
distressed (m.), affligé
to be stuck with bad thoughts/feelings (expression), bruyer du noir
unlucky (m.), malchanceux
(the) melancholy, la mélancolie
(the) misfortune, le malheur
distressed (f.), affligée
unlucky (f.), malchanceuse
delighted (f.), ravie
dejected (m.), abattu
sullen, maussade
dejected (f.), abattue
