the pruning shears, le sécateur
the spade (digging), la bêche
to prune/trim, tailler
the garden/planting bed, la planche
to spread, épandre
the seedstock, la semence
to pick/gather, cueillir 
the fertilizer, l'engrais, m
the chicken, la poule
the compost, le compost
the manure, le fumier
the wheelbarrow, la brouette
the ladder, l'échelle, f
the mulch, le paillage
the harvest, la récolte
the hoe, la houe
the graft/grafting, la greffe
(the) companion planting, l'association de plantes, f
the soil, le sol
the rake, le râteau
to harvest, récolter
to transplant (seedlings), repiquer
the garden hoe, la binette
the garden hose, le tuyau d'arrosage
(the) permaculture, la permaculture
(the) market gardening/truck farming, le maraîchage
