to feel blue, avoir le blues
saddened (m.), attristé
resigned (f.), résignée
(the) sadness, la tristesse
resigned (m.), résigné
exhalted (m.), exalté
serene (f.), sereine
expression pour dire « se souvenir d'un jour pendant longtemps pour une raison malheureuse », marquer un jour d'une pierre noire
disappointed (m.), déçu
melancholy (adj.), mélancolique
(the) depression, la dépression
expression pour dire « avoir le moral à zéro », avoir le bourdon
to cry, pleurer
to be lucky, avoir de la chance
saddened (f.), attristée
depressed (f.), déprimée
to feel shitty, avoir le cafard
morose, morose
to be in good spirits, avoir le moral
to bring good luck to (someone), porter le bonheur à
un euphémisme familier qui désigne la naissance d'un enfant, un heureux événement
to sob, sangloter
delighted (m.), ravi
miserable, misérable
unhappy / unfortunate (m.), malheureux
(the) disappointment, la déception
expression pour dire « être dans un état de tristesse profonde » (m.), être malheureux comme les pierres, f
expression pour dire « traverser une période difficile », passer un mauvais moment
to burst out laughing, éclater de rire
to upset (someone), faire de la peine à
discouraged (m.), découragé
Qui est changeant dans ses sentiments¸ notamment en amour (m./f.), infidèle
Sentiment réciproque d'affection ou de sympathie qui ne se fonde ni sur la parenté ni sur l'attrait sexuel, l'amitié, f
le rapport entre personnes descendant les unes des autres¸ ou d'un ancêtre commun, la parenté
inspiring (m.), inspirant
inspiring (f.), inspirante
Qui ne dépend d'aucune condition (m.), inconditionnel
Qui ne dépend d'aucune condition (f.), inconditionnelle
