to feed, nourrir
the sheep, le mouton
the cow, la vache
the pig, le cochon
to mound/hill up, butter
to plow/till, labourer
to water, arroser
to weed, désherber
the earth (soil), la terre
the watering can, l'arrosoir, m
the seedling/young plant, le plant
the prarie, le pré
the goat, la chèvre
the drainage, le drainage
the row, le rang
the pitchfork, la fourche
the beehive, la ruche
the pruning knife, la serpette
(the) crop rotation, la rotation des cultures
the pasture, le pâturage
to milk, traire
to sow/plant seeds, semer
the greenhouse, la serre
to mulch, pailler
the weed, la mauvaise herbe
to stake (a plant), tuteurer
the chicken coop, le poulailler
