the bakery (where baking is done), le fournil
the oven, le four
the batch, la fournée
to preheat, préchauffer
to bake, cuire
the baking/cooking, la cuisson
to put in oven, enfourner
to remove from oven, défourner
the steam, la vapeur
the scale, la balance
the mixer, le pétrin
the rolling pin, le rouleau à pâtisserie
the (wooden) board, la planche
the tray, la plaque
the tin, le moule
to beat (e.g. the eggs), battre
to whisk, fouetter
the whisk, le foulet
the shaping, le façonnage
the dough scraper, le racloir à pâte
the bowl scraper, la corne
to detatch, décoller
to score bread, grigner
the rubber spatula, la maryse
the blade, la lame
the mixing bowl, le saladier
the sieve, le tamis
the baker's couche cloth, une couche
the kitchen towel, le torchon
the cooling rack, la grille
the brush, la brosse
the pastry brush, le pinceau
the spatula, le spatule
the baker's peel, la pelle
the ashes, les cendres, f
the embers, les braises, f
the trolley, le chariot
the dough cutter, le coupe-pâte
